Model,MAE,RMSE,R2,MAPE
Ridge Regression,1.0640660239724293,2.220626895164275,0.9992261505894818,0.01651687854020687
Random Forest,1.1100414993306553,2.2356724976107194,0.9992156288096928,0.01504948497944485
Linear Regression,1.1135076577738154,2.347044397264781,0.9991355340834451,0.01727150071052448
Elastic Net,1.1388284796410393,2.4335193688322696,0.9990706594662095,0.01754935799294656
Lasso Regression,1.1980850693829768,2.587842224890499,0.9989490529032599,0.018716788232259387
XGBoost,1.3689633459578876,2.795221768653763,0.9987738663683733,0.025110584960539063
AdaBoost,4.557681738185755,6.007816294886583,0.9943358003333357,0.26270499975564415
